Day,Holiday_name
2022-01-01,New year
2022-01-06,Fwtwn
2022-03-07,Kathara Deytera
2022-03-25,25h
2022-04-22,Easter
2022-04-24,Easter
2022-04-25,Easter
2022-05-02,Labor Day
2022-06-13,Agiou Pneumatos
2022-08-15,Dekapentaygoustos
2022-10-28,28h
2022-12-26,Christmas
2023-01-01,New year
2023-01-06,Fwtwn
2023-03-25,25_h
2023-04-14,Easter
2023-04-15,Easter
2023-04-16,Easter
2023-04-17,Easter
2023-05-01,Labor Day
2023-06-05,Agiou Pneumatos
2023-08-15,Dekapentaygoustos
2023-10-28,28h
2023-12-25,Christmas
2023-12-26,Christmas
2024-01-01,New year
2024-01-06,Fwtwn
2024-03-18,Kathara Deytera
2024-03-25,25h
2024-05-01,Labor Day
2024-05-03,Easter
2024-05-04,Easter
2024-05-05,Easter
2024-05-06,Easter
2024-05-07,Labor Day transferred
2024-06-24,Agiou Pneumatos
2024-08-15,Dekapentaygoustos
2024-10-28,28h
2024-12-25,Christmas
2024-12-26,Christmas
