SKU,Group
1000,0.3 AC installation
1500,0.3 AC installation
2000,0.2 BG installation
3000,0.1 MDA installation
4000,0.4 AC Maintenence
5000,1.7 Sun_boiler_Inspection
212298,0.4 AC Maintenence
212299,0.4 AC Maintenence
234921,0.1 MDA installation
252294,0.2 BG installation
930574,1.8 Kichen_Furniture
930576,1.8 Kichen_Furniture
930597,0.3 AC installation
930714,1.9 Home_consultation
930756,2.0 Drones
930757,2.0 Drones
930958,0.6 Sun Boiler installation
930959,1.7 Sun_boiler_Inspection
931062,1.8 Kichen_Furniture
990019,0.2 BG installation
990042,0.1 MDA installation
990043,0.1 MDA installation
990044,0.1 MDA installation
990045,0.1 MDA installation
990046,0.1 MDA installation
990088,0.8 Ceiling Fan installation
990120,0.2 BG installation
990121,0.2 BG installation
990122,0.2 BG installation
990146,0.2 BG installation
990157,0.2 BG installation
990158,0.2 BG installation
990159,0.2 BG installation
990165,0.1 MDA installation
990166,0.2 BG installation
990167,0.2 BG installation
990168,0.7 Electric Boiler installation
990169,0.7 Electric Boiler installation
990178,0.10 Office installation
990179,0.2 BG installation
990181,0.2 BG installation
990196,0.1 MDA installation
990197,0.1 MDA installation
990198,0.1 MDA installation
990228,0.3 AC installation
990229,0.3 AC installation
990235,0.1 MDA installation
990236,0.1 MDA installation
990237,0.1 MDA installation
990238,0.1 MDA installation
990239,0.1 MDA installation
990240,0.1 MDA installation
990241,0.1 MDA installation
990242,0.1 MDA installation
990243,0.1 MDA installation
990244,0.1 MDA installation
990245,0.2 BG installation
990246,0.10 Office installation
990248,0.9 Barbecue installation
990249,0.9 Barbecue installation
990250,0.11 Fitness installation
990251,0.10 Office installation
990253,0.10 Office installation
990277,0.1 MDA installation
990278,0.1 MDA installation
990279,0.1 MDA installation
990280,0.1 MDA installation
990281,0.1 MDA installation
990282,0.1 MDA installation
990283,0.1 MDA installation
990284,0.1 MDA installation
990285,0.1 MDA installation
990286,0.1 MDA installation
990287,0.1 MDA installation
990288,0.2 BG installation
990289,0.2 BG installation
990290,0.2 BG installation
990291,0.2 BG installation
990292,0.3 AC installation
990293,0.3 AC installation
990785,0.1 MDA installation
990786,0.1 MDA installation
990798,0.2 BG installation
990955,0.4 AC Maintenence
990956,0.2 BG installation
990957,0.2 BG installation
990959,0.2 BG installation
990960,0.2 BG installation
990978,0.1 MDA installation
990979,0.1 MDA installation
990980,0.1 MDA installation
990981,0.1 MDA installation
990982,0.1 MDA installation
990983,0.1 MDA installation
990984,0.1 MDA installation
990985,0.1 MDA installation
998005,0.4 AC Maintenence
998008,0.2 BG installation
999150,0.2 BG installation
999154,0.2 BG installation
999155,0.2 BG installation
999158,0.2 BG installation
999161,0.2 BG installation
999163,0.2 BG installation
999166,0.2 BG installation
999168,0.2 BG installation
999174,0.2 BG installation
999233,0.3 AC installation
999234,0.3 AC installation
999235,0.3 AC installation
999236,0.3 AC installation
999238,0.2 BG installation
999239,0.2 BG installation
999560,0.1 MDA installation
999561,0.1 MDA installation
999562,0.1 MDA installation
999563,0.1 MDA installation
999626,0.2 BG installation
999627,0.2 BG installation
999637,0.2 BG installation
999648,0.2 BG installation
999666,0.4 AC Maintenence
999668,0.4 AC Maintenence
999669,0.4 AC Maintenence
999670,0.4 AC Maintenence
999698,0.2 BG installation
999699,0.2 BG installation
999701,0.2 BG installation
999702,0.2 BG installation
999703,0.2 BG installation
999704,0.10 Office installation
999705,0.2 BG installation
999706,0.1 MDA installation
999707,0.1 MDA installation
999708,0.1 MDA installation
999709,0.1 MDA installation
999710,0.1 MDA installation
999719,0.3 AC installation
999720,0.3 AC installation
999721,0.3 AC installation
999722,0.3 AC installation
999723,0.3 AC installation
999744,0.1 MDA installation
999745,0.2 BG installation
999746,0.2 BG installation
999747,0.1 MDA installation
999750,0.1 MDA installation
999768,0.2 BG installation
999769,0.2 BG installation
999785,0.2 BG installation
999786,0.2 BG installation
999787,0.2 BG installation
999788,0.2 BG installation
999789,0.2 BG installation
999796,0.3 AC installation
999827,0.5 AC Electrical installation
999828,0.5 AC Electrical installation
999830,0.1 MDA installation
999831,0.1 MDA installation
999835,0.1 MDA installation
931235,0.2 BG installation
900051,2.2 DH Maintenence
931576,2.3 Starlink
930727,2.4 B2B
931328,2.4 B2B
930552,2.4 B2B
930971,0.6 Sun Boiler installation
930960,0.6 Sun Boiler installation
930761,2.0 Drones
990068,0.6 Sun Boiler installation
930961,0.6 Sun Boiler installation
931002,0.6 Sun Boiler installation
931001,0.6 Sun Boiler installation
931190,2.1 PV
931184,2.1 PV
931193,2.1 PV
931189,2.1 PV
931185,2.1 PV
931194,2.1 PV
931195,2.1 PV
931198,2.1 PV
931191,2.1 PV
931197,2.1 PV
931188,2.1 PV
931192,2.1 PV
931186,2.1 PV
931187,2.1 PV
931550,0.1 MDA installation
931583,0.1 MDA installation
930004,0.6 Sun Boiler installation
